date,incident_id,governorate,district,area,target,main_category,sub_category,min_air_raids,max_air_raids,civilian_casualties,fatalities,woman_fatalities,child_fatalities,injured,woman_injured,child_injured,confirmed_time,time_of_day
2015-03-29,120,Marib,marib,Sahn Al-Jin,Detecting Radars,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,21,night
2015-03-29,121,Marib,marib,Third Military  region HQ,Air Defence Battalion,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,21,night
2015-03-29,122,Saada,baqim,"Ma'ali, Mara'a, Abwab Al-Hadeed",Residential Area,civilian,residential area,1,2.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-29,123,Saada,sihar,Al-Mahadher,Pro-Houthi forces,military_security_target,forces,1,2.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-29,124,Saada,razih,-,Pro-Houthi forces,military_security_target,forces,1,2.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-29,125,Saada,saqain,"Qarhid, Khamees Al-Mihwar",Residential Area,civilian,residential area,1,2.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-29,126,Saada,sa'ada,The City,Sa'ada Airport,infrastructure,transport,1,2.0,0,0,0,0,0,0,0.0,18,night
2015-03-29,127,Saada,sa'ada,The City,Cultural Centre,infrastructure,gov. compounds,1,3.0,0,0,0,0,0,0,0.0,Unknown,unknown
2015-03-29,128,Saada,sa'ada,The City,Al-Ibbi House,civilian,residential area,1,2.0,0,0,0,0,0,0,0.0,Unknown,unknown
2015-03-29,129,Saada,haydan,-,Unknown,unknown,unknown,1,2.0,0,0,0,0,0,0,0.0,18,night
2015-03-29,130,Shabwa,bayhan,Aqabat Al-Qandha'a,Pro-Houthi forces,military_security_target,forces,1,2.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-29,131,Taiz,sabir al-mawadim,Al-Aroos Mountain,Al-Arous Military Camp,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-29,132,Taiz,al-mukha,Al-Mukha Port,Air Defence Military Sites,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,20,night
2015-03-30,133,Sanaa,bani al-harith,Al-Rahabah,Al-Daylami Airbase,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-30,134,Sanaa,al-sab'ein,Al-Nahdain,Presidential Palace,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,10,afternoon
2015-03-30,135,Sanaa,al-wahdah,60m Road,Military supplies camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,16,afternoon
2015-03-30,136,Sanaa,al-wahdah,60m Road,YEC Storage units,economic_infrastructure,food (storage/transportation),1,2.0,0,0,0,0,0,0,0.0,16,afternoon
2015-03-30,137,Sanaa,bani matar,Al-Sobahah,Special Forces Military Camp,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-30,138,Sanaa,bani hushaysh,Al-Jamimah,Al-Jamimah Military Camp,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,10,afternoon
2015-03-30,139,Sanaa,bani matar,Faj Attan,Missiles Brigade Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,16,afternoon
2015-03-30,140,Sanaa,bani matar,Ayban Mountain,Air Defence Batteries,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,16,afternoon
2015-03-30,141,Sanaa,bani hushaysh,Al-Khorafi,Al-Khorafi Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,16,afternoon
2015-03-30,142,Sanaa,bani matar,Faj Attan,Missiles Brigade Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,20,night
2015-03-30,143,Abyan,khanfir,Shaqrah,Pro-Houthi reinforcement,military_security_target,moving target (weapons/fighters),1,2.0,0,0,0,0,0,0,0.0,15,afternoon
