Incident ID,Date,Governorate,District,Area,Target,Main category,Sub-category,Min Air Raids,Max Air Raids,Civilian Casualties,Fatalities ,Woman fatalities,Child fatalities,Injured ,Woman injured,Child injured, Confirmed Time,Time of Day,,,,
73,28/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,24,Evening,,,,
74,28/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Al-Nahdain Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Evening,,,,
75,28/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,1,5,0,0,0,0,0,0,0,2,Early-Morning,,,,
76,28/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,19,Evening,,,,
77,28/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,19,Evening,,,,
78,28/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,19,Evening,,,,
79,28/03/2015,Abyan,Khanfir,Shaqrah,115th Infantry Brigade,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,23,Afternoon,,,,
80,28/03/2015,Abyan,Zinjibar,Wadi Hassan ,Pro-Houthi forces,Military_Security_Target,Forces,1,2,0,0,0,0,0,0,0,unkn,Evening,,,,
81,28/03/2015,Amran,Qaflah Odhr,,Al-Qashlah Military Camp,Military_Security_Target,Military Site,1,3,0,0,0,0,0,0,0,17,Afternoon,,,,
82,28/03/2015,Dhamar,Mayfa'at Ans,Samah,Samah Mlitary Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,1,Early-Morning,,,,
83,28/03/2015,Hajja,Abs,-,25th Mechanized Infantry Brigade,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Night,,,,
84,28/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,Al-Hudaydah Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,19,Evening,,,,
85,28/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,"Military Airport, Air Defence forces, Radars",Military_Security_Target,Military Site,1,2,21,1,0,0,20,0,0,20,Evening,,,,
